gen,min,max,avg,std
119,-178.55524756768372,161.74975330663307,67.328123570808359,87.282427021237055
120,-162.45170876117749,161.74975330663307,66.883749462736716,90.856287360945302
121,-174.94492287892683,161.74975330663307,83.408368695256527,79.551034688942337
122,-170.53070908863069,161.74975330663307,62.24490660177517,94.527653084524758
123,-173.50264884527618,161.74975330663307,58.113562783271007,94.227061154025677
124,-169.51997114003382,161.74975330663307,49.393780967785844,100.36348017099037
125,-180.33081261237004,161.74975330663307,64.354924455544264,90.62830156087476
126,-161.85141978220915,161.74975330663307,55.69062346650098,93.591704386987701
127,-180.28934381239145,161.74975330663307,59.54310186970806,97.339304646560066
128,-183.18177520000916,161.74975330663307,51.551524567623893,100.1778377265404
129,-182.7050517006488,161.74975330663307,32.898244875102904,102.70188571777847
130,-176.96306960667715,161.74975330663307,36.295695205731192,102.40167322235406
131,-184.10329196194297,161.74975330663307,49.61740561955331,97.750956157936798
132,-140.01397607161908,161.74975330663307,31.924045549674851,99.077026918164492
133,-165.76802561714547,161.74975330663307,28.585225216672551,100.25863743659447
134,-158.70084188509387,161.74975330663307,32.479318377967623,97.457671505897693
135,-166.0676850683721,161.74975330663307,47.022964186513583,100.10710061935252
136,-129.05950760503183,161.74975330663307,34.273247928770608,100.20176112675119
137,-180.33103832506583,161.74975330663307,43.470505480146365,103.64897444612218
138,-176.24101804566374,161.74975330663307,52.789669028610753,100.82484260569946
139,-142.77619982851394,161.74975330663307,39.513310368950243,98.454509375023292
140,-139.913935285505,161.74975330663307,57.144562199780793,94.97783200909312
141,-175.08947029320035,161.74975330663307,36.136950810726859,104.2465289869705
142,-140.79870388231154,161.74975330663307,39.497605989931806,103.63880735677188
143,-171.74950289011292,161.74975330663307,28.448840716738946,104.53649032628233
144,-175.53123448128227,161.74975330663307,16.518299555873458,104.02527999494345
145,-175.22172731987706,161.74975330663307,10.627981761953063,100.52825724731009
146,-142.5599777557259,161.74975330663307,24.832064826553605,97.637958892552533
147,-119.88625194642572,161.74975330663307,41.559718063104867,98.407816943841667
148,-171.24299435684861,161.74975330663307,49.261533966032204,97.507971834611681
149,-174.51248620323818,161.74975330663307,26.319059745496379,101.49687623165156
150,-168.21710940628077,161.74975330663307,28.989499909244724,106.48683458520652
151,-174.75103907028031,161.74975330663307,34.069971709868817,103.22751919252867
152,-175.58734626487629,161.74975330663307,37.729998978335772,103.58187002586288
153,-172.70848734758533,161.74975330663307,40.602929058671904,99.91238227305476
154,-179.05781375135257,161.74975330663307,43.066710383795098,98.50666718506352
155,-171.82963052890602,161.74975330663307,66.227040856726532,90.735749376900799
156,-175.42533471820803,161.74975330663307,43.337980567489154,103.72526935905957
157,-171.53770563006856,161.74975330663307,43.662163651424642,103.94297906890596
158,-169.15043586867125,161.74975330663307,20.824746530916016,108.82093973098722
159,-172.58294946792083,161.74975330663307,42.812406074188601,103.34401847808223
160,-132.94967362655052,161.74975330663307,36.687927670409351,100.33743427502911
161,-173.1606097627056,161.74975330663307,31.203398729505754,101.52104260577937
162,-156.14561959985869,161.74975330663307,33.158921118218807,103.70038668575266
163,-176.13002570775168,161.74975330663307,30.330758081467955,102.4700329184024
164,-159.48583559530564,161.74975330663307,40.250780303759022,102.15621063157964
165,-169.03417044003029,161.74975330663307,37.326615904777555,101.4017143787724
166,-180.22876926028192,161.74975330663307,31.629601351496571,105.28847023293629
167,-122.06841970040712,161.74975330663307,38.326194754333557,106.05687564061269
168,-121.35790376669962,161.74975330663307,35.753649670782877,105.8534967531446
169,-162.5958825102812,161.74975330663307,36.939386853235931,105.83312740405727
170,-138.79903658086363,165.48915334562309,10.534454625541592,106.02350307839276
171,-151.255982118335,165.48915334562309,15.024108504939907,105.35791818802359
172,-139.7965359805184,165.48915334562309,43.320140810624096,109.20886418094697
173,-173.06655505732473,161.74975330663307,19.237090662893891,109.87207990798518
174,-152.32944162077189,161.74975330663307,21.747801531807823,109.03852617055091
175,-171.05281701318282,161.74975330663307,23.882754503868124,106.14067003698283
176,-168.33715428378747,161.74975330663307,27.61731060200901,106.59157481830258
177,-146.08690791325731,161.74975330663307,22.843086353021214,108.08835289288726
178,-174.87921344896125,161.74975330663307,20.585646111623042,110.03138161264989
179,-172.31560572240659,161.74975330663307,15.892629784839992,108.53009512716281
180,-176.45948990885259,161.74975330663307,17.820435005864283,112.31727106820276
181,-180.23092096711764,161.74975330663307,22.848013559483693,110.47605676214185
182,-152.87500514181795,161.74975330663307,31.389074701840599,108.27019443696909
183,-176.71662945976846,161.74975330663307,3.8290019635141448,107.93660138606754
184,-163.72020889129249,161.74975330663307,16.038228724039815,104.08910897057427
185,-179.31240542513584,161.74975330663307,37.440896003376537,106.08880669756502
186,-174.34471832267832,161.74975330663307,32.988646223487628,106.94015259872003
187,-157.15934431511894,161.74975330663307,33.672643768814872,110.9456051608567
188,-166.88020761832152,161.74975330663307,32.265397095773352,110.77231653797099
189,-182.81266360645824,161.74975330663307,31.935922310418213,108.44070590182169
190,-141.53226437019339,161.74975330663307,32.746773852562271,107.8023045998667
191,-170.52363719233196,161.74975330663307,11.239972287214114,109.93522589892098
192,-176.66193274249071,161.74975330663307,-9.0415555738200428,105.75151902210565
193,-178.84253757138652,167.72965947101491,16.706311161566454,108.03791865761363
194,-218.62918826448106,161.74975330663307,21.817052140858173,108.78564429828683
195,-148.29459196322273,161.74975330663307,10.127586250667086,110.04034148621632
196,-179.23044867156355,161.74975330663307,14.219352272811342,111.15286937199355
197,-148.76243783634092,166.57770558980729,30.023428454112036,108.48989455186815
198,-174.87971059707363,166.57770558980729,35.749320176918779,111.03307040033458
199,-172.32465803796165,166.57770558980729,15.343150479499393,112.47026303251415
200,-142.98991845370711,173.72338537271719,22.814668579024691,110.65523907770819
201,-181.54778817437364,177.77889397451597,6.8877290015951589,111.94317003375895
202,-160.37600444874607,177.77889397451597,18.516979418691701,112.21075446948248
203,-177.1690478244019,177.77889397451597,9.6631591860748767,110.68539670303981
204,-183.38971765971448,181.9821309206595,27.884624517686255,117.89891710021071
205,-183.3397988486883,177.77889397451597,52.869981459540739,116.95675935437251
206,-161.87496341670774,177.77889397451597,66.610861028910392,111.69660733097233
207,-183.57041511549266,180.13782905654358,72.5525552724866,116.02553504962394
208,-183.76742098723125,185.31332153849738,77.348154704616348,117.36763502298869
209,-180.49154754779886,193.93277310217599,75.398694717975772,115.48015806713256
210,-182.64852328513425,193.93277310217599,86.562938334636726,111.76785897258961
211,-183.71194041052451,180.13782905654358,66.855082827301644,117.60474981765923
212,-185.81240228596988,189.51035268526746,97.332471972038547,109.14209800156415
213,-183.4679022559128,189.79457587405244,90.355749904627942,109.2227545388842
214,-183.48700623782472,191.22249825124595,88.345896531862721,113.03812785999004
215,-183.34498741726196,193.40360426532996,95.669432820278203,109.54686357214369
216,-183.66437775925587,193.40360426532996,99.417792164884261,107.77730820050138
217,-183.59370080933746,193.40360426532996,99.287397818171627,112.57766450817209
